ID,Title,Year,Rank
f363c4a3-1ff2-47a4-b89f-7d463f997846,Forgetting Sarah Marshall,2008,"35/65"
656d13da-9e5a-42a2-babb-94a0e3e4b967,License to Wed,2007,"30/70"
cb6c30ce-66bd-4dba-b79c-c47d1bfb06fc,Blind Date,1987,"45/55"
ea496c46-ebc1-4430-bc14-ec151feae7fc,40 Days and 40 Nights,2002,"55/45"
a6528d40-9e33-462f-a83b-60dd1eb822cc,The Back-up Plan,2010,"60/40"
838aaf53-0e41-4173-85aa-9cab92ff10f7,The Heartbreak Kid,2007,"40/60"
50c92818-50be-4cf7-98d3-3729870dcf58,Picture Perfect,1997,"65/35"
af98712f-a519-4159-81d5-24fff51b2aea,Did You Hear About the Morgans?,2009,"35/65"
0bb4291e-fbd2-4980-aad9-0809af85af8a,The Prince and Me,2004,"75/25"
40c0ecfe-77b9-457f-837b-a820bfacfc32,Two Can Play That Game,2001,"50/50"
7b7a790d-68c5-4ecc-8d8c-a206f0fa1ec8,Love Don't Cost a Thing,2003,"70/30"
48f470f1-fd27-45f9-8231-3205aef3c1cf,A Lot Like Love,2005,"65/35"
50543dcc-2c63-4bdc-849e-1334e4a1ef1b,Boys and Girls,2000,"55/45"
77dfc0cc-b006-4985-958d-1fde516588df,Just Wright,2010,"75/25"
256be1da-53b8-4694-b885-c69370321c93,My Best Friend's Girl,2008,"40/60"
2ba0cbbd-444f-4d4b-9ac3-a5fff099e94d,Waitress,2007,"60/40"
e2a504ae-1742-431f-9718-a73d9e6c46e9,Laws of Attraction,2004,"50/50"
fadc7ba8-b5d8-4611-83c0-2316e1879f42,Drive Me Crazy,1999,"45/55"
fcc16e6b-9ad4-4050-85cc-bf5b28a6d7ed,Win a Date with Tad Hamilton!,2004,"60/40"
9cae6c74-ca4b-43be-b513-f431cacdbd09,Serving Sara,2002,"35/65"
58af655a-57a5-46db-a4d7-390be0e2c00f,That Old Feeling,1997,"55/45"
5076b80d-dda4-4dce-87a5-2c6b60a7a95c,The Perfect Man,2005,"70/30"
dd789f07-a300-422f-9626-5dfcf6ffde3f,A Guy Thing,2003,"30/70"
6c638ba1-2aa0-429e-91d9-83d37f736053,Life or Something Like It,2002,"40/60"
41937bd7-92fb-4284-b066-06a59fb58f15,The Pick-up Artist,1987,"45/55"
cfbec5b7-51f8-4287-a8ef-0965c34f79a6,Chasing Liberty,2004,"65/35"
07ecd153-8c4c-4bd5-84d1-6b00448ee7cc,The Last Kiss,2006,"80/20"
f7ff6729-6a4b-4063-b545-49b08812810a,Get Over It,2001,"50/50"
c2ef6e39-f0dd-4c1f-b5c1-fd2b91db4215,Something New,2006,"75/25"
41a2b604-b23c-4b52-b92a-d7dbddb23ab4,First Daughter,2004,"60/40"
e2fda509-ccde-4dfb-b943-02a7148fa6e5,Never Again,2001,"70/30"
ea503a5a-3ea2-465f-8ac7-b28d1d68294c,The Romantics,2010,"85/15"
9d82ad5f-701a-4aec-bfec-5ea2a31677c0,What Women Want,2011,"55/45"
a2d5ba5f-b7a2-45a4-a54a-f31e7413ade5,All Over the Guy,2001,"45/55"
6f18da47-cf19-413d-86c9-4f85736bf084,Crush,2001,"65/35"
75936978-15de-4e2e-ac83-57a978a6e951,Head Over Heels,2001,"55/45"
5c35aac8-0339-4182-8e13-50c698990b24,Whatever It Takes,2000,"40/60"
553f77b8-e3de-4100-bd96-383a80a2cf58,My Life in Ruins,2009,"70/30"
dcff8993-3e74-4657-b12b-ad311f95ba70,Boat Trip,2002,"30/70"
