Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
130,tt0093693,2014-02-15,2014-02-15,,"Overboard","Overboard",https://www.imdb.com/title/tt0093693/,Movie,6.9,112,1987,"Comedy, Romance",68932,1987-12-16,"Garry Marshall"
131,tt0785007,2014-02-15,2014-02-15,,"Over Her Dead Body","Over Her Dead Body",https://www.imdb.com/title/tt0785007/,Movie,5.3,95,2008,"Comedy, Fantasy, Romance",25704,2008-02-01,"Jeff Lowell"
132,tt0472160,2014-02-15,2014-02-15,,"Penelope","Penelope",https://www.imdb.com/title/tt0472160/,Movie,6.7,104,2006,"Comedy, Fantasy, Romance",66738,2008-02-29,"Mark Palansky"
133,tt0380623,2014-02-15,2014-02-15,,"The Perfect Man","The Perfect Man",https://www.imdb.com/title/tt0380623/,Movie,5.4,100,2005,"Comedy, Family, Romance",32202,2005-06-17,"Mark Rosman"
134,tt0119896,2014-02-15,2014-02-15,,"Picture Perfect","Picture Perfect",https://www.imdb.com/title/tt0119896/,Movie,5.5,101,1997,"Comedy, Drama, Romance",21593,1997-08-01,"Glenn Gordon Caron"
135,tt1981677,2014-02-15,2014-02-15,,"Pitch Perfect","Pitch Perfect",https://www.imdb.com/title/tt1981677/,Movie,7.1,112,2012,"Comedy, Music, Romance",333245,2012-10-05,"Jason Moore"
136,tt1540128,2014-02-15,2014-02-15,,"Playing for Keeps","Playing for Keeps",https://www.imdb.com/title/tt1540128/,Movie,5.7,105,2012,"Comedy, Romance, Sport",31392,2012-12-07,"Gabriele Muccino"
137,tt0091790,2014-02-15,2014-02-15,,"Pretty in Pink","Pretty in Pink",https://www.imdb.com/title/tt0091790/,Movie,6.7,97,1986,"Comedy, Drama, Romance",89733,1986-02-28,"Howard Deutch"
138,tt0100405,2014-02-15,2014-02-15,,"Pretty Woman","Pretty Woman",https://www.imdb.com/title/tt0100405/,Movie,7.1,119,1990,"Comedy, Romance",368753,1990-03-23,"Garry Marshall"
139,tt0387514,2014-02-15,2014-02-15,,"Prime","Prime",https://www.imdb.com/title/tt0387514/,Movie,6.2,105,2005,"Comedy, Drama, Romance",42213,2005-10-28,"Ben Younger"
140,tt0337697,2014-02-15,2014-02-15,,"The Prince and Me","The Prince & Me",https://www.imdb.com/title/tt0337697/,Movie,5.9,111,2004,"Comedy, Family, Romance",41784,2004-04-02,"Martha Coolidge"
141,tt0093779,2014-02-15,2014-02-15,,"The Princess Bride","The Princess Bride",https://www.imdb.com/title/tt0093779/,Movie,8.0,98,1987,"Adventure, Comedy, Family, Fantasy, Romance",454355,1987-10-09,"Rob Reiner"
142,tt1041829,2014-02-15,2014-02-15,,"The Proposal","The Proposal",https://www.imdb.com/title/tt1041829/,Movie,6.8,108,2009,"Comedy, Drama, Romance",365448,2009-06-19,"Anne Fletcher"
143,tt0431308,2014-02-15,2014-02-15,,"P.S. I Love You","P.S. I Love You",https://www.imdb.com/title/tt0431308/,Movie,7.0,126,2007,"Comedy, Drama, Romance",219190,2007-12-21,"Richard LaGravenese"
144,tt0350028,2014-02-15,2014-02-15,,"Raising Helen","Raising Helen",https://www.imdb.com/title/tt0350028/,Movie,6.0,119,2004,"Comedy, Drama, Romance",38413,2004-05-28,"Garry Marshall"
145,tt1205535,2014-02-15,2014-02-15,,"The Rebound","The Rebound",https://www.imdb.com/title/tt1205535/,Movie,6.3,95,2009,"Comedy, Romance",50453,2012-02-07,"Bart Freundlich"
146,tt0093886,2014-02-15,2014-02-15,,"Roxanne","Roxanne",https://www.imdb.com/title/tt0093886/,Movie,6.6,107,1987,"Comedy, Romance",47995,1987-06-19,"Fred Schepisi"
147,tt0398375,2014-02-15,2014-02-15,,"Rumor Has It...","Rumor Has It...",https://www.imdb.com/title/tt0398375/,Movie,5.5,97,2005,"Comedy, Drama, Romance",62028,2005-12-25,"Rob Reiner"
148,tt1862079,2014-02-15,2014-02-15,,"Safety Not Guaranteed","Safety Not Guaranteed",https://www.imdb.com/title/tt1862079/,Movie,6.9,86,2012,"Adventure, Comedy, Drama, Fantasy, Romance",131316,2012-06-15,"Colin Trevorrow"
149,tt0098258,2014-02-15,2014-02-15,,"Say Anything","Say Anything...",https://www.imdb.com/title/tt0098258/,Movie,7.3,100,1989,"Comedy, Drama, Romance",96894,1989-04-14,"Cameron Crowe"
150,tt0240890,2014-02-15,2014-02-15,,"Serendipity","Serendipity",https://www.imdb.com/title/tt0240890/,Movie,6.8,90,2001,"Comedy, Romance",122158,2001-10-05,"Peter Chelsom"
151,tt1000774,2014-02-15,2014-02-15,,"Sex and the City","Sex and the City",https://www.imdb.com/title/tt1000774/,Movie,5.7,145,2008,"Comedy, Drama, Romance",128085,2008-05-30,"Michael Patrick King"
152,tt0138097,2014-02-18,2014-02-18,,"Shakespeare in Love","Shakespeare in Love",https://www.imdb.com/title/tt0138097/,Movie,7.1,123,1998,"Comedy, Drama, History, Romance",235373,1999-01-08,"John Madden"
153,tt0160862,2014-02-15,2014-02-15,,"She's All That","She's All That",https://www.imdb.com/title/tt0160862/,Movie,5.9,95,1999,"Comedy, Romance",104664,1999-01-29,"Robert Iscove"
154,tt0815236,2014-02-15,2014-02-15,,"She's Out of My League","She's Out of My League",https://www.imdb.com/title/tt0815236/,Movie,6.4,104,2010,"Comedy, Romance",145900,2010-03-12,"Jim Field Smith"
155,tt0454945,2014-02-15,2014-02-15,,"She's the Man","She's the Man",https://www.imdb.com/title/tt0454945/,Movie,6.4,105,2006,"Comedy, Romance, Sport",177666,2006-03-17,"Andy Fickman"
156,tt1045658,2014-02-15,2014-02-15,,"Silver Linings Playbook","Silver Linings Playbook",https://www.imdb.com/title/tt1045658/,Movie,7.7,122,2012,"Comedy, Drama, Romance",746687,2012-12-25,"David O. Russell"
157,tt0088128,2014-02-15,2014-02-15,,"Sixteen Candles","Sixteen Candles",https://www.imdb.com/title/tt0088128/,Movie,7.0,93,1984,"Comedy, Romance",127916,1984-05-04,"John Hughes"
158,tt0108160,2014-02-15,2014-02-15,,"Sleepless in Seattle","Sleepless in Seattle",https://www.imdb.com/title/tt0108160/,Movie,6.8,105,1993,"Comedy, Drama, Romance",192427,1993-06-25,"Nora Ephron"
159,tt0244970,2014-02-15,2014-02-15,,"Someone Like You","Someone Like You...",https://www.imdb.com/title/tt0244970/,Movie,6.1,97,2001,"Comedy, Romance",27590,2001-03-30,"Tony Goldwyn"
160,tt0491152,2014-02-15,2014-02-15,,"Something Borrowed","Something Borrowed",https://www.imdb.com/title/tt0491152/,Movie,5.8,112,2011,"Comedy, Drama, Romance",65588,2011-05-06,"Luke Greenfield"
161,tt0337741,2014-02-15,2014-02-15,,"Something's Gotta Give","Something's Gotta Give",https://www.imdb.com/title/tt0337741/,Movie,6.7,128,2003,"Comedy, Drama, Romance",130137,2003-12-12,"Nancy Meyers"
162,tt1714206,2014-02-15,2014-02-15,,"The Spectacular Now","The Spectacular Now",https://www.imdb.com/title/tt1714206/,Movie,7.0,95,2013,"Drama, Romance",162141,2013-09-13,"James Ponsoldt"
163,tt2205697,2014-02-15,2014-02-15,,"Stuck in Love.","Stuck in Love",https://www.imdb.com/title/tt2205697/,Movie,7.2,97,2012,"Comedy, Drama, Romance",92412,2013-05-02,"Josh Boone"
164,tt0234829,2014-02-15,2014-02-15,,"Summer Catch","Summer Catch",https://www.imdb.com/title/tt0234829/,Movie,5.1,104,2001,"Comedy, Drama, Romance, Sport",16749,2001-08-24,"Michael Tollin"
165,tt0256415,2014-02-15,2014-02-15,,"Sweet Home Alabama","Sweet Home Alabama",https://www.imdb.com/title/tt0256415/,Movie,6.2,108,2002,"Comedy, Romance",124678,2002-09-27,"Andy Tennant"
166,tt0253867,2014-02-15,2014-02-15,,"The Sweetest Thing","The Sweetest Thing",https://www.imdb.com/title/tt0253867/,Movie,5.2,84,2002,"Comedy, Romance",62935,2002-04-12,"Roger Kumble"
167,tt0889573,2014-02-15,2014-02-15,,"The Switch","The Switch",https://www.imdb.com/title/tt0889573/,Movie,6.1,101,2010,"Comedy, Drama, Romance",112860,2010-08-20,"Josh Gordon, Will Speck"
168,tt0815244,2014-02-15,2014-02-15,,"Sydney White","Sydney White",https://www.imdb.com/title/tt0815244/,Movie,6.2,108,2007,"Comedy, Drama, Romance",51608,2007-09-21,"Joe Nussbaum"
169,tt0810922,2014-02-18,2014-02-18,,"Take Me Home Tonight","Take Me Home Tonight",https://www.imdb.com/title/tt0810922/,Movie,6.3,97,2011,"Comedy, Drama, Romance",55430,2011-03-04,"Michael Dowse"
170,tt1800246,2014-02-15,2014-02-15,,"That Awkward Moment","That Awkward Moment",https://www.imdb.com/title/tt1800246/,Movie,6.1,94,2014,"Comedy, Romance",107798,2014-01-31,"Tom Gormican"
171,tt0129387,2014-02-15,2014-02-15,,"There's Something About Mary","There's Something About Mary",https://www.imdb.com/title/tt0129387/,Movie,7.1,119,1998,"Comedy, Romance",331312,1998-07-15,"Bobby Farrelly, Peter Farrelly"
172,tt1621045,2014-02-15,2014-02-15,,"Think Like a Man","Think Like a Man",https://www.imdb.com/title/tt1621045/,Movie,6.5,122,2012,"Comedy, Romance",50648,2012-04-20,"Tim Story"
173,tt1596350,2014-02-15,2014-02-15,,"This Means War","This Means War",https://www.imdb.com/title/tt1596350/,Movie,6.3,103,2012,"Action, Comedy, Romance",194925,2012-02-17,"McG"
174,tt0117979,2014-02-15,2014-02-15,,"The Truth About Cats & Dogs","The Truth About Cats & Dogs",https://www.imdb.com/title/tt0117979/,Movie,6.3,97,1996,"Comedy, Romance",29219,1996-04-26,"Michael Lehmann"
175,tt0313737,2014-02-15,2014-02-15,,"Two Weeks Notice","Two Weeks Notice",https://www.imdb.com/title/tt0313737/,Movie,6.1,101,2002,"Comedy, Romance",126657,2002-12-20,"Marc Lawrence"
176,tt1142988,2014-02-15,2014-02-15,,"The Ugly Truth","The Ugly Truth",https://www.imdb.com/title/tt1142988/,Movie,6.4,96,2009,"Comedy, Romance",231736,2009-07-24,"Robert Luketic"
177,tt0817230,2014-02-15,2014-02-15,,"Valentine's Day","Valentine's Day",https://www.imdb.com/title/tt0817230/,Movie,5.7,125,2010,"Comedy, Romance",125854,2010-02-12,"Garry Marshall"
178,tt0086525,2014-02-15,2014-02-15,,"Valley Girl","Valley Girl",https://www.imdb.com/title/tt0086525/,Movie,6.4,99,1983,"Comedy, Romance",18783,1983-04-29,"Martha Coolidge"
179,tt0473308,2014-02-15,2014-02-15,,"Waitress","Waitress",https://www.imdb.com/title/tt0473308/,Movie,7.0,108,2007,"Comedy, Drama, Romance",49057,2007-05-25,"Adrienne Shelly"
180,tt1588173,2014-02-15,2014-02-15,,"Warm Bodies","Warm Bodies",https://www.imdb.com/title/tt1588173/,Movie,6.8,98,2013,"Comedy, Horror, Romance",244956,2013-02-01,"Jonathan Levine"
181,tt0396269,2014-02-15,2014-02-15,,"Wedding Crashers","Wedding Crashers",https://www.imdb.com/title/tt0396269/,Movie,7.0,119,2005,"Comedy, Romance",378104,2005-07-15,"David Dobkin"
182,tt0372532,2014-02-15,2014-02-15,,"The Wedding Date","The Wedding Date",https://www.imdb.com/title/tt0372532/,Movie,6.1,90,2005,"Comedy, Romance",56611,2005-02-04,"Clare Kilner"
183,tt0484877,2014-02-15,2014-02-15,,"Wedding Daze","The Pleasure of Your Company",https://www.imdb.com/title/tt0484877/,Movie,5.6,90,2006,"Comedy, Romance",17537,2007-06-01,"Michael Ian Black"
184,tt0209475,2014-02-15,2014-02-15,,"The Wedding Planner","The Wedding Planner",https://www.imdb.com/title/tt0209475/,Movie,5.3,103,2001,"Comedy, Romance",87394,2001-01-26,"Adam Shankman"
185,tt0120888,2014-02-15,2014-02-15,,"The Wedding Singer","The Wedding Singer",https://www.imdb.com/title/tt0120888/,Movie,6.9,97,1998,"Comedy, Music, Romance",163747,1998-02-13,"Frank Coraci"
186,tt0286788,2014-02-15,2014-02-15,,"What a Girl Wants","What a Girl Wants",https://www.imdb.com/title/tt0286788/,Movie,5.8,105,2003,"Comedy, Drama, Family, Romance",66944,2003-04-04,"Dennie Gordon"
187,tt0202402,2014-02-15,2014-02-15,,"Whatever It Takes","Whatever It Takes",https://www.imdb.com/title/tt0202402/,Movie,5.5,94,2000,"Comedy, Drama, Romance",12156,2000-03-24,"David Raynr"
188,tt1033643,2014-02-15,2014-02-15,,"What Happens in Vegas","What Happens in Vegas",https://www.imdb.com/title/tt1033643/,Movie,6.1,99,2008,"Comedy, Romance",189084,2008-05-09,"Tom Vaughan"
189,tt0207201,2014-02-15,2014-02-15,,"What Women Want","What Women Want",https://www.imdb.com/title/tt0207201/,Movie,6.4,127,2000,"Comedy, Fantasy, Romance",224050,2000-12-15,"Nancy Meyers"
190,tt0770703,2014-02-15,2014-02-15,,"What's Your Number?","What's Your Number?",https://www.imdb.com/title/tt0770703/,Movie,6.0,106,2011,"Comedy, Romance",88322,2011-09-30,"Mark Mylod"
191,tt1586265,2014-02-15,2014-02-15,,"What to Expect When You're Expecting","What to Expect When You're Expecting",https://www.imdb.com/title/tt1586265/,Movie,5.7,110,2012,"Comedy, Drama, Romance",76016,2012-05-18,"Kirk Jones"
192,tt0098635,2014-02-15,2014-02-15,,"When Harry Met Sally...","When Harry Met Sally...",https://www.imdb.com/title/tt0098635/,Movie,7.7,95,1989,"Comedy, Drama, Romance",245081,1989-07-21,"Rob Reiner"
193,tt1185416,2014-02-15,2014-02-15,,"When in Rome","When in Rome",https://www.imdb.com/title/tt1185416/,Movie,5.5,91,2010,"Comedy, Romance",64881,2010-01-29,"Mark Steven Johnson"
194,tt0114924,2014-02-15,2014-02-15,,"While You Were Sleeping","While You Were Sleeping",https://www.imdb.com/title/tt0114924/,Movie,6.8,103,1995,"Comedy, Drama, Romance",115116,1995-04-21,"Jon Turteltaub"
195,tt0335559,2014-02-15,2014-02-15,,"Win a Date with Tad Hamilton!","Win a Date with Tad Hamilton!",https://www.imdb.com/title/tt0335559/,Movie,5.6,95,2004,"Comedy, Romance",29543,2004-01-23,"Robert Luketic"
196,tt1068680,2014-02-15,2014-02-15,,"Yes Man","Yes Man",https://www.imdb.com/title/tt1068680/,Movie,6.8,104,2008,"Comedy, Romance",385582,2008-12-19,"Peyton Reed"
197,tt1414382,2014-02-15,2014-02-15,,"You Again","You Again",https://www.imdb.com/title/tt1414382/,Movie,5.7,105,2010,"Comedy, Romance",54729,2010-09-24,"Andy Fickman"
198,tt0128853,2014-02-15,2014-02-15,,"You've Got Mail","You've Got Mail",https://www.imdb.com/title/tt0128853/,Movie,6.7,119,1998,"Comedy, Drama, Romance",231384,1998-12-18,"Nora Ephron"
199,tt0463034,2014-02-15,2014-02-15,,"You, Me and Dupree","You, Me and Dupree",https://www.imdb.com/title/tt0463034/,Movie,5.6,110,2006,"Comedy, Romance",84399,2006-07-14,"Anthony Russo, Joe Russo"
200,tt0443295,2014-02-15,2014-02-15,,"Yours, Mine & Ours","Yours, Mine & Ours",https://www.imdb.com/title/tt0443295/,Movie,5.5,88,2005,"Comedy, Family, Romance",30514,2005-11-23,"Raja Gosnell"
